DVM ID,Practice Name,Active,Partner,State,Zip,Marketing Email Pref,Vet Users,Staff Users, Past Year Revenue , avgMonthlyRev , avgMonthlyRevPerUser 
1728,Kelley Animal Hospital,1,VBS Partner,AL,35215,Companion Animal,8,5,6071.61,505.9675,38.92057692
1785,Corpus Christi Animal Clinic,1,VBS Partner,TX,78404,Companion Animal,1,4,15617.35,1301.445833,260.2891667
1836,"Animal Hospital of New Albany, Inc.",1,IMA Partner,OH,43054,Companion Animal,2,4,39361.77,3280.1475,546.69125
1837,Pet Vac Animal Hospital,1,IMA Partner,SC,29301,Companion Animal,1,4,25371.19,2114.265833,422.8531667
1838,"Stonebrook Veterinary Clinic,PLLC",1,IMA Partner,TX,75034,Companion Animal,3,3,32775.56,2731.296667,455.2161111
1840,Bridgeview Animal Hospital,1,IMA Partner,IN,46037,Companion Animal,8,5,24357.55,2029.795833,156.138141
1841,Okaw Veterinary Clinic,1,IMA Partner,IL,61953,Companion Animal,1,2,25726.48,2143.873333,714.6244444
1842,Noah's Ark Companion Animal Hospital,1,IMA Partner,NC,28734,Companion Animal,2,9,14162.11,1180.175833,107.2887121
1878,Enfield Animal Hospital,1,IMA Partner,CT,06082,Companion Animal,7,2,24870.53,2072.544167,230.2826852
1880,Valley Veterinary Clinic,1,IMA Partner,PA,18912,Companion Animal,1,1,24362.88,2030.24,1015.12
1881,Northern Valley Animal Clinic,1,IMA Partner,MN,55906,Companion Animal,3,6,8314.88,692.9066667,76.98962963
1882,Ridgeview Animal Clinic,1,IMA Partner,IN,47150,Companion Animal,3,14,16012.54,1334.378333,78.49284314
1883,"Crescent Veterinary Hospital, Inc.",1,IMA Partner,GA,30265,Companion Animal,1,1,12539.38,1044.948333,522.4741667
1884,"East End Veterinary Medical Centre, P.C.",1,IMA Partner,PA,15232,Companion Animal,2,4,13916.21,1159.684167,193.2806944
1885,"Heights Hospital for Animals, Inc.",1,VBS Partner,TX,77008,Companion Animal,4,1,59688.29,4974.024167,994.8048333
1887,Oakwood Hills Animal Hospital LLC,1,IMA Partner,WI,54701,Companion Animal,2,0,14620.6,1218.383333,609.1916667
1888,Academy East & Middle Creek Veterinary Hospital,1,IMA Partner,NC,27526,Companion Animal,10,6,44728.56,3727.38,232.96125
1889,Shy Valley Animal Hospital,1,IMA Partner,TN,37641,Companion Animal,1,1,10241.62,853.4683333,426.7341667
1890,"Brandywine Valley Veterinary Hospital, Inc.",1,IMA Partner,PA,19320,Companion Animal,5,0,28240.44,2353.37,470.674
1891,Island Animal Hospital,1,IMA Partner,FL,33480,Companion Animal,4,1,6217.49,518.1241667,103.6248333
1892,Rockland Veterinary,1,IMA Partner,NY,10970,Companion Animal,8,9,2202.87,183.5725,10.79838235
1894,Ridgeview Animal Hospital,1,IMA Partner,NE,68130,Companion Animal,4,8,16269.14,1355.761667,112.9801389
1896,Gunston and Dale City Animal Hospitals,1,IMA Partner,VA,22079,Companion Animal,13,6,69647.63,5803.969167,305.4720614
1897,North Country Animal Health Center PC,1,IMA Partner,NY,13601,Companion Animal,7,6,24336.32,2028.026667,156.0020513
1898,Bay Area Veterinary Housecalls,1,IMA Partner,TX,77574,Companion Animal,1,0,71957.76,5996.48,5996.48
1899,"Meadowbrook Veterinary Clinic, P.C.",1,IMA Partner,IL,61614,Companion Animal,8,1,6821.47,568.4558333,63.16175926
1901,Blue Sky Veterinary Clinic,1,IMA Partner,OR,97702,Companion Animal,11,4,12269.1,1022.425,68.16166667
1903,Herkimer Veterinary Associates,1,IMA Partner,NY,13350,Companion Animal,6,1,22425.75,1868.8125,266.9732143
