DVM ID,Practice Name,Active,Catalog,Partner,MVM,VC,VFC1,Addr1,City,State,Zip,Go Live Date,Vet Users,Staff Users,Activated On,Emails,Total Revenue,Average,CM,Written Rx,Converted
79813,Bigger Road Veterinary Clinic,1,VFC_00006534,IMA Partner,,,,5655 Bigger Rd,Kettering,OH,45440,4/16/14,8,3,4/11/14,4443,350900.29,6497.098889,TRUE,460,180
8446,Red Bank Veterinary Hospital,1,VFC_00008358,VBS Partner,,212187,,197 Hance Avenue,Tinton Falls,NJ,7724,4/17/14,153,15,12/19/14,25514,522725.14,5952.532414,TRUE,236,131
2391,LakeCross Veterinary Hospital,1,VFC_00003110,VBS Partner,,213229,,106 Parr Dr.,Huntersville,NC,28078,5/23/12,10,3,11/1/12,4391,419799,3261.801721,TRUE,704,225
81541,Intermountain Pet Hospital,1,VFC_00006577,VBS Partner,,,,800 W OVERLAND RD STE 1,MERIDIAN,ID,83642,5/15/14,6,22,5/15/14,3930,137095.29,2797.863061,TRUE,98,54
89647,Wisconsin Equine Clinic & Hospital,1,VFC_00006622,VBS Partner,,,,39151 Delafield Rd,Oconomowoc,WI,53066,7/25/14,12,12,7/25/14,0,98068.37,2707.895,FALSE,18,13
88836,Equine Clinic at OakenCroft,1,VFC_00006779,VBS Partner,,,,880 Bridge St,Ravena,NY,12143,4/2/14,11,4,1/2/15,0,41908,2619.25,FALSE,91,46
2107,The Village Vets,1,VFC_00000135,IMA Partner,,222858,,217 N. McDonough St,Decatur,GA,30030,Unknown,33,21,5/2/11,3257,343630.82,2350.529016,TRUE,3,2
3983,Veterinary Associates of Cape Cod,1,VFC_00004159,VBS Partner,,220059,,16 Commonwealth Ave,South Yarmouth,MA,2664,7/31/14,9,5,3/31/14,3617,145625.96,2430.546207,TRUE,41,8
107594,Merritt & Associates Equine Hospital,1,VFC_00006760,VBS Partner,,,,26996 North Darrell Road,Wauconda,IL,60084,12/15/14,4,4,12/18/14,0,35154.71,2067.924118,FALSE,250,43
99572,Avery Animal Hospital,1,VFC_00006571,VBS Partner,,,,4507 Cemetery Road,Hilliard,OH,43026,5/8/14,5,2,5/14/14,3725,100744.86,2054.283878,TRUE,14,6
