DVM ID,Practice Name,Active,Partner,State,Zip,Marketing Email Pref,Vet Users,Staff Users,totalRev,avgMonthlyRev,avgMonthlyRevPerUser,wRx,cRx,monthlyRxTot,clients,emails,bracket
1948,San Francisco SPCA Veterinary Hospital,1,IMA Partner,CA,94103,Companion Animal,44,13,12739.06,1061.59,18.62,28,11,2,70430,21166,2
4623,Pet Haven Veterinary Clinic,1,VBS Partner,KS,67203,Companion Animal,11,2,13724.66,1143.72,87.98,65,20,5,35250,6382,2
2182,Geary Veterinary Services LLC,1,IMA Partner,PA,15456,Companion Animal,1,1,7647.6,637.3,318.65,7,5,1,34593,2054,1
2144,Lakeside Animal Hospital,1,IMA Partner,VA,23228,Companion Animal,5,3,5449.67,454.14,56.77,1,1,0,27735,3663,1
2155,Barrington Oaks Veterinary Hospital,1,IMA Partner,MN,55330,Companion Animal,10,1,4306.11,358.84,32.62,6,2,1,23112,5664,1
2433,Fairmount Animal Hospital,1,VBS Partner,NY,13219,Companion Animal,17,19,22355.59,1862.97,51.75,150,102,13,23021,4665,2
2261,Center Moriches Veterinary Hospital,1,IMA Partner,NY,11934,Companion Animal,5,1,4078.65,339.89,56.65,2,2,0,19810,2430,1
5624,Southern Veterinary Center,1,VBS Partner,TN,37167,Companion Animal,5,1,20689.71,1724.14,287.36,33,14,3,19788,2041,2
2761,Woodmar Animal Clinic,1,VBS Partner,IN,46324,Companion Animal,5,1,14670.52,1222.54,203.76,66,34,6,17706,1785,2
2955,Desert Veterinary Clinic,1,VBS Partner,WA,99352,Companion Animal,7,2,11558.77,963.23,107.03,9,6,1,17489,4563,1
4686,Moon Veterinary Hospital PC,1,VBS Partner,PA,15108,Companion Animal,7,3,20745.35,1728.78,172.88,15,6,1,17488,1500,2
3002,Caring Hands Animal Hospital of Arlington,1,VBS Partner,VA,22206,Companion Animal,17,18,6294.27,524.52,14.99,18,9,2,17231,14352,1
5764,Woodland West Animal Hospital,1,VBS Partner,OK,74132,Companion Animal,7,23,21277.74,1773.15,59.1,33,18,3,16612,5014,2
2104,Kittery Animal Hospital Inc.,1,IMA Partner,ME,3904,Companion Animal,5,5,9193.22,766.1,76.61,94,33,8,16346,2060,1
5820,Green Mountain Animal Hospital,1,VBS Partner,VT,5403,Companion Animal,5,1,22231.79,1852.65,308.77,13,10,1,16326,2420,2
3234,Amazon Animal Hospital,1,VBS Partner,CA,91911,Companion Animal,1,1,6542.46,545.21,272.6,3,2,0,16132,1995,1
1909,"Vale Park Animal Hospital, LLC",1,IMA Partner,IN,46383,Companion Animal,6,2,10791.81,899.32,112.41,11,6,1,15721,4921,1
5726,Animal Care Center of Topeka,1,VBS Partner,KS,66607,Companion Animal,2,2,2345.02,195.42,48.85,5,3,0,15324,1456,1
2038,Biddeford Animal Hospital,1,IMA Partner,ME,4005,Companion Animal,6,1,1751.96,146,20.86,18,12,2,14306,1838,1
2197,Wildwood Animal Hospital,1,VBS Partner,WI,54449,Companion Animal,5,2,5450.94,454.25,64.89,44,24,4,14175,1513,1
3341,Animal Hospital of Montgomery,1,VBS Partner,AL,36109,Companion Animal,1,1,6799,566.58,283.29,5,2,0,13560,734,1
2210,"Boone County Veterinary Clinic, Inc.",1,IMA Partner,AR,72601,Companion Animal,3,9,6559.16,546.6,45.55,2,2,0,13284,811,1
3509,"Chillicothe Animal Clinic, Inc.",1,VBS Partner,OH,45601,Companion Animal,6,1,3668.49,305.71,43.67,3,3,0,13219,3247,1
