YEAR BUILT,TEST,NEIGHBORHOOD
1975,173298644,UPPER EAST SIDE (59-79)  
1989,147000000,KIPS BAY                 
2009,100471452,MIDTOWN WEST             
2009,91541053,MIDTOWN WEST             
1931,77500000,UPPER EAST SIDE (59-79)  
1927,70000000,UPPER EAST SIDE (59-79)  
1928,67500000,UPPER EAST SIDE (59-79)  
2009,56079298,MIDTOWN WEST             
2009,55559311,MIDTOWN WEST             
2009,55498125,MIDTOWN WEST             
2009,52952500,MIDTOWN WEST             
2009,52952500,MIDTOWN WEST             
2009,50916000,MIDTOWN WEST             
1900,48726000,SOHO                     
2005,48000000,UPPER WEST SIDE (59-79)  
2009,47367491,MIDTOWN WEST             
2009,47366989,MIDTOWN WEST             
1926,42000000,WASHINGTON HEIGHTS LOWER 
1929,40730000,CHELSEA                  
1962,38100000,MIDTOWN WEST             
1925,35000000,UPPER EAST SIDE (79-96)  
2009,34000000,MIDTOWN WEST             
2009,32571705,MIDTOWN WEST             
1929,31311187,CHELSEA                  
1925,30900000,UPPER EAST SIDE (79-96)  
2009,30683372,MIDTOWN WEST             
2009,30551000,MIDTOWN WEST             
1910,30500000,CHELSEA                  
2009,30449175,MIDTOWN WEST             
2009,30042375,MIDTOWN WEST             
2005,30002000,UPPER WEST SIDE (59-79)  
2005,30000000,UPPER WEST SIDE (59-79)  
2009,29533450,MIDTOWN WEST             
1906,29500000,TRIBECA                  
2009,29329100,MIDTOWN WEST             
1901,28001875,LITTLE ITALY             
2009,27127160,MIDTOWN WEST             
1930,26400000,UPPER WEST SIDE (59-79)  
2005,25925000,UPPER WEST SIDE (59-79)  
1900,25250000,SOHO                     
2009,24843664,MIDTOWN WEST             
2009,22927037,MIDTOWN WEST             
2012,22705312,UPPER EAST SIDE (79-96)  
2009,22405000,MIDTOWN WEST             
2009,22150437,MIDTOWN WEST             
1913,22000000,UPPER EAST SIDE (59-79)  
2009,21895875,MIDTOWN WEST             
2009,21386750,MIDTOWN WEST             
1900,21000000,SOHO                     
2009,20877625,MIDTOWN WEST             
1930,20500000,UPPER EAST SIDE (79-96)  
2009,20368500,MIDTOWN WEST             
1929,20250000,UPPER EAST SIDE (79-96)  
2012,20110437,MIDTOWN WEST             
2008,19474225,MIDTOWN EAST             
2009,19350250,MIDTOWN WEST             
1928,19350000,UPPER EAST SIDE (59-79)  
1913,19346750,UPPER EAST SIDE (59-79)  
1985,19346750,UPPER EAST SIDE (59-79)  
2009,19146600,MIDTOWN WEST             
1913,19000000,UPPER EAST SIDE (59-79)  
1927,18500000,UPPER EAST SIDE (59-79)  
2009,17822875,MIDTOWN WEST             
1913,17819375,UPPER EAST SIDE (59-79)  
1911,17500000,TRIBECA                  
2009,17313750,MIDTOWN WEST             
2001,17250000,MIDTOWN CBD              
1929,17156250,CHELSEA                  
1910,17100000,UPPER WEST SIDE (59-79)  
1913,17055687,UPPER EAST SIDE (59-79)  
1913,16995000,UPPER WEST SIDE (79-96)  
2007,16630890,FINANCIAL                
1924,16550000,UPPER EAST SIDE (59-79)  
1912,16500000,UPPER EAST SIDE (79-96)  
1955,16220300,MIDTOWN WEST             
1929,16012500,CHELSEA                  
1929,16012500,CHELSEA                  
2007,16000000,FLATIRON                 
1907,16000000,UPPER WEST SIDE (59-79)  
1885,15930000,SOHO                     
2004,15900000,TRIBECA                  
1913,15884700,UPPER EAST SIDE (59-79)  
1913,15681050,UPPER EAST SIDE (59-79)  
1915,15500000,UPPER EAST SIDE (79-96)  
2005,15500000,UPPER WEST SIDE (59-79)  
2005,15463500,UPPER WEST SIDE (59-79)  
1914,15273750,UPPER EAST SIDE (59-79)  
2008,15019187,FLATIRON                 
2008,14927000,FLATIRON                 
1913,14815537,UPPER EAST SIDE (59-79)  
1910,14790000,UPPER WEST SIDE (59-79)  
2011,14764625,UPPER EAST SIDE (59-79)  
1920,14650000,SOHO                     
1940,14510062,UPPER EAST SIDE (59-79)  
2008,14500000,FLATIRON                 
1931,14500000,MIDTOWN EAST             
1927,14500000,UPPER EAST SIDE (59-79)  
1929,14500000,UPPER EAST SIDE (79-96)  
1913,14255500,UPPER EAST SIDE (59-79)  
2008,14250000,FLATIRON                 
2005,14250000,UPPER WEST SIDE (59-79)  
2007,14127750,GREENWICH VILLAGE-WEST   
2008,14000000,FLATIRON                 
1940,14000000,MIDTOWN WEST             
2011,13746375,UPPER EAST SIDE (59-79)  
1930,13700000,UPPER EAST SIDE (59-79)  
1940,13695462,UPPER EAST SIDE (59-79)  
2007,13500000,GREENWICH VILLAGE-CENTRAL
1924,13500000,UPPER EAST SIDE (59-79)  
1931,13400000,UPPER EAST SIDE (59-79)  
2008,13370906,FLATIRON                 
1928,13250000,UPPER EAST SIDE (59-79)  
2012,13250000,UPPER EAST SIDE (79-96)  
2008,13237250,FLATIRON                 
2008,13237250,UPPER WEST SIDE (59-79)  
2005,13075000,UPPER WEST SIDE (59-79)  
2008,13000000,FLATIRON                 
1928,13000000,UPPER EAST SIDE (59-79)  
2008,12982687,FLATIRON                 
1940,12918589,UPPER EAST SIDE (59-79)  
1940,12791310,UPPER EAST SIDE (59-79)  
1930,12750000,UPPER WEST SIDE (79-96)  
1931,12728125,CIVIC CENTER             
1926,12700000,UPPER EAST SIDE (79-96)  
1972,12539270,HARLEM-EAST              
2012,12524475,MIDTOWN WEST             
1930,12500000,UPPER WEST SIDE (59-79)  
2005,12390000,SOHO                     
1963,12288000,MIDTOWN WEST             
1937,12200000,UPPER EAST SIDE (59-79)  
1927,12125000,UPPER EAST SIDE (79-96)  
2008,12117175,FLATIRON                 
1929,12100000,CHELSEA                  
2012,12000000,MIDTOWN WEST             
2011,11913525,UPPER EAST SIDE (59-79)  
1938,11900000,MIDTOWN WEST             
2008,11750000,FLATIRON                 
2008,11750000,FLATIRON                 
2006,11650000,TRIBECA                  
1928,11600000,UPPER EAST SIDE (59-79)  
1927,11515000,UPPER EAST SIDE (59-79)  
1909,11506000,UPPER WEST SIDE (59-79)  
1940,11494022,UPPER EAST SIDE (59-79)  
1929,11437500,CHELSEA                  
2008,11325000,FLATIRON                 
1966,11300000,UPPER EAST SIDE (79-96)  
2005,11250000,SOHO                     
1910,11250000,UPPER WEST SIDE (59-79)  
2006,11000000,TRIBECA                  
1938,11000000,UPPER EAST SIDE (59-79)  
2008,11000000,UPPER WEST SIDE (59-79)  
1930,11000000,UPPER WEST SIDE (79-96)  
1955,10766000,MIDTOWN WEST             
1929,10750000,CHELSEA                  
1931,10750000,UPPER WEST SIDE (59-79)  
1966,10620000,UPPER EAST SIDE (79-96)  
2008,10617801,FLATIRON                 
1981,10600000,UPPER EAST SIDE (79-96)  
2005,10600000,UPPER WEST SIDE (59-79)  
2012,10564343,MIDTOWN WEST             
1900,10500000,FLATIRON                 
1910,10500000,SOHO                     
1914,10500000,UPPER EAST SIDE (59-79)  
1926,10500000,UPPER EAST SIDE (79-96)  
